student_id,first_name,last_name,age,major,graduation_year
1,FirstName1,LastName1,27,Major1,2022
2,FirstName2,LastName2,27,Major2,2025
3,FirstName3,LastName3,26,Major1,2025
4,FirstName4,LastName4,20,Major2,2024
5,FirstName5,LastName5,27,Major2,2024
6,FirstName6,LastName6,21,Major4,2022
7,FirstName7,LastName7,21,Major5,2024
8,FirstName8,LastName8,20,Major1,2022
9,FirstName9,LastName9,25,Major4,2025
10,FirstName10,LastName10,27,Major4,2022
11,FirstName11,LastName11,26,Major2,2024
12,FirstName12,LastName12,22,Major4,2025
13,FirstName13,LastName13,22,Major3,2022
14,FirstName14,LastName14,21,Major2,2022
15,FirstName15,LastName15,23,Major2,2023
16,FirstName16,LastName16,24,Major1,2025
17,FirstName17,LastName17,27,Major5,2024
18,FirstName18,LastName18,27,Major3,2022
19,FirstName19,LastName19,23,Major2,2023
20,FirstName20,LastName20,24,Major5,2024
21,FirstName21,LastName21,25,Major3,2023
22,FirstName22,LastName22,27,Major3,2022
23,FirstName23,LastName23,25,Major2,2025
24,FirstName24,LastName24,19,Major4,2023
25,FirstName25,LastName25,20,Major4,2025
26,FirstName26,LastName26,21,Major4,2025
27,FirstName27,LastName27,24,Major5,2024
28,FirstName28,LastName28,27,Major3,2022
29,FirstName29,LastName29,18,Major2,2025
30,FirstName30,LastName30,28,Major3,2023
31,FirstName31,LastName31,21,Major3,2025
32,FirstName32,LastName32,27,Major5,2024
33,FirstName33,LastName33,24,Major5,2024
34,FirstName34,LastName34,25,Major2,2024
35,FirstName35,LastName35,22,Major1,2025
36,FirstName36,LastName36,23,Major4,2022
37,FirstName37,LastName37,28,Major5,2023
38,FirstName38,LastName38,24,Major4,2023
39,FirstName39,LastName39,18,Major5,2023
40,FirstName40,LastName40,27,Major5,2022
41,FirstName41,LastName41,25,Major4,2022
42,FirstName42,LastName42,21,Major4,2024
43,FirstName43,LastName43,25,Major1,2025
44,FirstName44,LastName44,25,Major3,2023
45,FirstName45,LastName45,26,Major5,2023
46,FirstName46,LastName46,19,Major5,2025
47,FirstName47,LastName47,20,Major5,2023
48,FirstName48,LastName48,23,Major5,2022
49,FirstName49,LastName49,26,Major4,2022
50,FirstName50,LastName50,21,Major2,2025
51,FirstName51,LastName51,26,Major4,2024
52,FirstName52,LastName52,20,Major4,2025
53,FirstName53,LastName53,25,Major3,2024
54,FirstName54,LastName54,27,Major3,2023
55,FirstName55,LastName55,19,Major1,2023
56,FirstName56,LastName56,24,Major4,2022
57,FirstName57,LastName57,27,Major1,2023
58,FirstName58,LastName58,28,Major1,2022
59,FirstName59,LastName59,25,Major1,2022
60,FirstName60,LastName60,28,Major1,2025
61,FirstName61,LastName61,19,Major3,2024
62,FirstName62,LastName62,26,Major5,2023
63,FirstName63,LastName63,20,Major3,2022
64,FirstName64,LastName64,26,Major5,2023
65,FirstName65,LastName65,20,Major5,2024
66,FirstName66,LastName66,25,Major4,2022
67,FirstName67,LastName67,19,Major5,2025
68,FirstName68,LastName68,20,Major1,2023
69,FirstName69,LastName69,23,Major4,2024
70,FirstName70,LastName70,23,Major5,2025
71,FirstName71,LastName71,21,Major2,2023
72,FirstName72,LastName72,22,Major5,2025
73,FirstName73,LastName73,26,Major3,2023
74,FirstName74,LastName74,28,Major4,2022
75,FirstName75,LastName75,27,Major1,2022
76,FirstName76,LastName76,22,Major3,2023
77,FirstName77,LastName77,25,Major5,2025
78,FirstName78,LastName78,24,Major2,2022
79,FirstName79,LastName79,20,Major4,2025
80,FirstName80,LastName80,25,Major3,2024
81,FirstName81,LastName81,21,Major5,2025
82,FirstName82,LastName82,22,Major2,2025
83,FirstName83,LastName83,21,Major3,2024
84,FirstName84,LastName84,28,Major5,2022
85,FirstName85,LastName85,27,Major2,2022
86,FirstName86,LastName86,25,Major5,2023
87,FirstName87,LastName87,19,Major3,2025
88,FirstName88,LastName88,25,Major5,2025
89,FirstName89,LastName89,27,Major4,2023
90,FirstName90,LastName90,21,Major2,2025
91,FirstName91,LastName91,18,Major4,2022
92,FirstName92,LastName92,28,Major2,2023
93,FirstName93,LastName93,27,Major2,2023
94,FirstName94,LastName94,25,Major2,2023
95,FirstName95,LastName95,27,Major4,2023
96,FirstName96,LastName96,25,Major4,2022
97,FirstName97,LastName97,22,Major4,2024
98,FirstName98,LastName98,25,Major5,2022
99,FirstName99,LastName99,23,Major4,2023
100,FirstName100,LastName100,22,Major4,2023
101,FirstName101,LastName101,20,Major3,2024
102,FirstName102,LastName102,25,Major4,2023
103,FirstName103,LastName103,27,Major2,2024
104,FirstName104,LastName104,23,Major4,2025
105,FirstName105,LastName105,22,Major1,2024
106,FirstName106,LastName106,24,Major2,2025
107,FirstName107,LastName107,27,Major2,2024
108,FirstName108,LastName108,19,Major5,2022
109,FirstName109,LastName109,26,Major4,2023
110,FirstName110,LastName110,27,Major2,2024
111,FirstName111,LastName111,28,Major1,2025
112,FirstName112,LastName112,26,Major3,2022
113,FirstName113,LastName113,27,Major1,2024
114,FirstName114,LastName114,22,Major5,2023
115,FirstName115,LastName115,23,Major2,2025
116,FirstName116,LastName116,22,Major2,2023
117,FirstName117,LastName117,24,Major5,2025
118,FirstName118,LastName118,20,Major4,2024
119,FirstName119,LastName119,20,Major4,2024
120,FirstName120,LastName120,25,Major5,2022
121,FirstName121,LastName121,24,Major2,2023
122,FirstName122,LastName122,18,Major1,2024
123,FirstName123,LastName123,19,Major2,2023
124,FirstName124,LastName124,24,Major1,2025
125,FirstName125,LastName125,23,Major1,2025
126,FirstName126,LastName126,27,Major2,2024
127,FirstName127,LastName127,18,Major3,2022
128,FirstName128,LastName128,28,Major5,2022
129,FirstName129,LastName129,19,Major5,2024
130,FirstName130,LastName130,24,Major4,2025
131,FirstName131,LastName131,25,Major3,2025
132,FirstName132,LastName132,21,Major4,2022
133,FirstName133,LastName133,26,Major4,2024
134,FirstName134,LastName134,23,Major4,2023
135,FirstName135,LastName135,19,Major5,2024
136,FirstName136,LastName136,27,Major4,2023
137,FirstName137,LastName137,23,Major4,2023
138,FirstName138,LastName138,23,Major2,2022
139,FirstName139,LastName139,27,Major5,2023
140,FirstName140,LastName140,28,Major3,2023
141,FirstName141,LastName141,26,Major4,2023
142,FirstName142,LastName142,19,Major3,2023
143,FirstName143,LastName143,27,Major5,2023
144,FirstName144,LastName144,27,Major4,2023
145,FirstName145,LastName145,24,Major5,2024
146,FirstName146,LastName146,22,Major2,2023
147,FirstName147,LastName147,22,Major1,2022
148,FirstName148,LastName148,25,Major4,2022
149,FirstName149,LastName149,24,Major1,2025
150,FirstName150,LastName150,20,Major1,2022
151,FirstName151,LastName151,25,Major5,2022
152,FirstName152,LastName152,23,Major5,2023
153,FirstName153,LastName153,26,Major5,2023
154,FirstName154,LastName154,26,Major5,2022
155,FirstName155,LastName155,21,Major5,2025
156,FirstName156,LastName156,24,Major2,2022
157,FirstName157,LastName157,21,Major1,2025
158,FirstName158,LastName158,26,Major3,2023
159,FirstName159,LastName159,27,Major3,2022
160,FirstName160,LastName160,25,Major1,2023
161,FirstName161,LastName161,28,Major4,2023
162,FirstName162,LastName162,21,Major5,2023
163,FirstName163,LastName163,26,Major2,2023
164,FirstName164,LastName164,20,Major4,2022
165,FirstName165,LastName165,24,Major4,2022
166,FirstName166,LastName166,28,Major2,2024
167,FirstName167,LastName167,22,Major1,2023
168,FirstName168,LastName168,23,Major2,2024
169,FirstName169,LastName169,18,Major5,2025
170,FirstName170,LastName170,28,Major3,2025
171,FirstName171,LastName171,19,Major3,2025
172,FirstName172,LastName172,23,Major5,2023
173,FirstName173,LastName173,25,Major1,2024
174,FirstName174,LastName174,28,Major5,2022
175,FirstName175,LastName175,22,Major3,2023
176,FirstName176,LastName176,27,Major5,2023
177,FirstName177,LastName177,22,Major1,2025
178,FirstName178,LastName178,27,Major5,2022
179,FirstName179,LastName179,27,Major1,2025
180,FirstName180,LastName180,25,Major1,2022
181,FirstName181,LastName181,22,Major4,2024
182,FirstName182,LastName182,19,Major2,2025
183,FirstName183,LastName183,18,Major2,2023
184,FirstName184,LastName184,24,Major1,2024
185,FirstName185,LastName185,28,Major1,2022
186,FirstName186,LastName186,28,Major1,2025
187,FirstName187,LastName187,26,Major3,2023
188,FirstName188,LastName188,26,Major1,2022
189,FirstName189,LastName189,24,Major3,2022
190,FirstName190,LastName190,18,Major2,2024
191,FirstName191,LastName191,28,Major1,2023
192,FirstName192,LastName192,27,Major3,2023
193,FirstName193,LastName193,20,Major1,2022
194,FirstName194,LastName194,18,Major4,2025
195,FirstName195,LastName195,20,Major3,2023
196,FirstName196,LastName196,22,Major5,2024
197,FirstName197,LastName197,26,Major3,2024
198,FirstName198,LastName198,20,Major2,2024
199,FirstName199,LastName199,23,Major3,2023
200,FirstName200,LastName200,21,Major2,2024
201,FirstName201,LastName201,25,Major5,2025
202,FirstName202,LastName202,27,Major2,2025
203,FirstName203,LastName203,28,Major3,2025
204,FirstName204,LastName204,22,Major3,2022
205,FirstName205,LastName205,24,Major3,2025
206,FirstName206,LastName206,21,Major5,2022
207,FirstName207,LastName207,28,Major2,2023
208,FirstName208,LastName208,21,Major2,2023
209,FirstName209,LastName209,25,Major4,2024
210,FirstName210,LastName210,24,Major3,2023
211,FirstName211,LastName211,20,Major5,2022
212,FirstName212,LastName212,27,Major1,2023
